team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Memphis Grizzlies,Sacramento Kings,118,108,10,Grizzlies,Kings,0
Denver Nuggets,Boston Celtics,123,111,12,Nuggets,Celtics,0
Milwaukee Bucks,Washington Wizards,95,118,-23,Bucks,Wizards,0
New York Knicks,Phoenix Suns,102,83,19,Knicks,Suns,0
Philadelphia 76ers,New Orleans Pelicans,120,111,9,76ers,Pelicans,0
Charlotte Hornets,Los Angeles Lakers,115,121,-6,Hornets,Lakers,0
Indiana Pacers,Toronto Raptors,122,114,8,Pacers,Raptors,0
Cleveland Cavaliers,Chicago Bulls,145,134,11,Cavaliers,Bulls,0
Brooklyn Nets,San Antonio Spurs,139,103,36,Nets,Spurs,0
Minnesota Timberwolves,Denver Nuggets,124,111,13,Timberwolves,Nuggets,0
Houston Rockets,Dallas Mavericks,106,111,-5,Rockets,Mavericks,0
Portland Trail Blazers,Detroit Pistons,135,106,29,Blazers,Pistons,0
Golden State Warriors,Atlanta Hawks,143,141,2,Warriors,Hawks,0
LA Clippers,Miami Heat,100,110,-10,Clippers,Heat,0
Oklahoma City Thunder,Boston Celtics,150,117,33,Thunder,Celtics,0
Milwaukee Bucks,Washington Wizards,123,113,10,Bucks,Wizards,0
Utah Jazz,Sacramento Kings,115,117,-2,Jazz,Kings,0
Philadelphia 76ers,Indiana Pacers,129,126,3,76ers,Pacers,0
Cleveland Cavaliers,Phoenix Suns,90,88,2,Cavaliers,Suns,0
Charlotte Hornets,Memphis Grizzlies,107,131,-24,Hornets,Grizzlies,0
Orlando Magic,Oklahoma City Thunder,126,115,11,Magic,Thunder,0
New York Knicks,San Antonio Spurs,117,114,3,Knicks,Spurs,0
Toronto Raptors,Milwaukee Bucks,101,104,-3,Raptors,Bucks,0
Minnesota Timberwolves,Portland Trail Blazers,113,106,7,Timberwolves,Blazers,0
New Orleans Pelicans,Houston Rockets,119,108,11,Pelicans,Rockets,0
Chicago Bulls,Brooklyn Nets,121,112,9,Bulls,Nets,0
Los Angeles Lakers,Miami Heat,112,109,3,Lakers,Heat,0
Sacramento Kings,Atlanta Hawks,117,120,-3,Kings,Hawks,0
Golden State Warriors,Detroit Pistons,119,122,-3,Warriors,Pistons,0
Orlando Magic,Memphis Grizzlies,115,123,-8,Magic,Grizzlies,0
Dallas Mavericks,Boston Celtics,95,124,-29,Mavericks,Celtics,0
Houston Rockets,Utah Jazz,114,131,-17,Rockets,Jazz,0
Denver Nuggets,LA Clippers,122,91,31,Nuggets,Clippers,0
Indiana Pacers,Portland Trail Blazers,108,99,9,Pacers,Blazers,0
Philadelphia 76ers,Chicago Bulls,112,126,-14,76ers,Bulls,0
New Orleans Pelicans,Brooklyn Nets,102,108,-6,Pelicans,Nets,0
Toronto Raptors,New York Knicks,108,112,-4,Raptors,Knicks,0
San Antonio Spurs,Detroit Pistons,121,109,12,Spurs,Pistons,0
Milwaukee Bucks,Charlotte Hornets,109,138,-29,Bucks,Hornets,0
Oklahoma City Thunder,Washington Wizards,127,110,17,Thunder,Wizards,0
